date,mode,kind,rank,ticker,price_at_pick,base_target,base_by,bull_target,bull_by,exit_price,thesis,source,bear_target,bear_by,p_bear,p_base,p_bull,ev_price,next_earnings,size_pct,exit_date,exit_reason,event_pred_dir,event_pred_move,event_implied_move
2026-06-29,dip,rank10,2,MSFT,379.40,,,,,,Fortress compounder marked down on AI-capex optics,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,3,CBOE,249.10,,,,,,Un-clonable SPX/VIX franchise; prediction-market scare,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,4,META,577.22,,,,,,3B-user ad monopoly punished for capex raise,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,5,VEEV,153.30,,,,,,Debt-free regulated-SaaS #1 at cheapest-ever multiple,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,6,ISRG,406.78,,,,,,Robot-surgery monopoly; fell on a raised-guide beat,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,7,VST,163.75,,,,,,AI-power thesis intact vs DeepSeek-panic derating,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,8,BKNG,171.78,,,,,,OTA leader de-rated on AI-disintermediation fear,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,9,NFLX,77.38,,,,,,Streaming #1 sold off on guidance hold; ad tier second act,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,rank10,10,ZTS,78.71,,,,,,Animal-health #1 at ~11x; flagged as value-trap watch,output/dip/old/final_ranking_2026-06-29.md,,,,,,,,,,,,,
2026-06-29,dip,single,1,SPGI,410.92,525,2027-H1,575,2027-H2,,Ratings duopoly + index monopoly at 10th-percentile valuation; issuance trough is cyclical; spinoff completes 2026-07-01,output/dip/old/final_pick_2026-06-29.md,345,,,,,,,,,,,,
2026-07-02,momentum,rank10,1,AVGO,369.34,480,2027-Q2,600,2027-Q4,,Custom-ASIC #1 with 3x book-to-bill; IS the in-sourcing vehicle — immune to the trap,output/momentum/old/final_ranking_2026-07-02.md,295,,,,,,,,,,,,
2026-07-02,momentum,rank10,2,MU,1032.28,1300,2027-Q2,1800,2027-Q4,,"HBM sold out CY26 binding at 6.9x fwd; purest quantified shortage, cycle-clock risk",output/momentum/old/final_ranking_2026-07-02.md,775,,,,,,,,,,,,
2026-07-02,momentum,rank10,3,NVDA,197.58,260,2027-Q2,330,2027-Q4,,"AI shortage epicenter, cheapest mega-AI, uncrowded chart; ASIC in-sourcing trap flagged",output/momentum/old/final_ranking_2026-07-02.md,150,,,,,,,,,,,,
2026-07-02,momentum,rank10,4,HWM,267.41,,,,,,Single-crystal airfoil duopoly gating every engine ramp; only name in all four ballots' top 7,output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,5,GE,374.94,,,,,,>$210B backlog certified engine duopoly; flagged above Street mean,output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,6,LLY,1191.74,,,,,,60% GLP-1 share + first oral GLP-1 launched; oral-race and IRA flags,output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,7,SNDK,2032.22,,,,,,$42B contracted through 2028 but +4381% 12-mo and above Street mean; priced-in flag,output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,8,CDNS,377.73,,,,,,"EDA duopoly toll booth, record $8B backlog; benefits from in-sourcing; durable not explosive",output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,9,CAT,991.41,,,,,,"$63B backlog, gensets sold out through 2027; above-mean valuation flag on a cyclical",output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,momentum,rank10,10,FCX,60.53,,,,,,Copper deficit + 50% US tariff at 15x; Grasberg outage and surplus-forecast flags,output/momentum/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,single,1,CME,231.00,295,2027-Q2,330,2027-Q4,,~99% US rate-futures clearing monopoly at ~18.8x fwd vs mid-20s norm; record Q1 into a Kalshi/FMX scare the moat already survived,output/dip/old/final_pick_2026-07-02.md,190,,,,,,,,,,,,
2026-07-02,dip,rank10,1,CME,231.00,295,2027-Q2,330,2027-Q4,,~99% rate-futures clearing monopoly at multi-year-low multiple on record Q1; Kalshi scare not share loss,output/dip/old/final_ranking_2026-07-02.md,190,,,,,,,,,,,,
2026-07-02,dip,rank10,2,SPGI,414.97,510,2027-H1,560,2027-H2,,"Ratings duopoly; spin catalyst fired Jul 1 (+8%) — already $440 by 7/2, dip partly closed",output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,3,MSFT,384.28,490,2027-Q2,561,2027-Q4,,Fortress compounder de-rated on $190B AI-capex optics while Azure +40%; biggest upside-to-target of top 3,output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,4,ISRG,402.38,,,,,,85%-recurring surgery annuity hit by fixable recall + bounded China loss; beat-and-raise into the dip,output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,5,META,612.91,,,,,,"Ad engine +33% into a capex-fear dip; cheapest quality mega-cap, shallowest dip vs SMA",output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,6,CBOE,247.72,,,,,,Un-clonable SPX/VIX licenses at ~half historical multiple; needs vol to return,output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,7,EFX,162.17,,,,,,Work Number data monopoly -38% at decade-low multiple; catalyst hostage to slipping rate cuts,output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,8,VST,153.16,,,,,,Record EBITDA + contracted 20-yr AI-power demand vs PJM price-cap scare; policy-gated,output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,9,IDXX,537.58,,,,,,"Vet-diagnostics recurring engine decoupling from visit scare; consensus on all ballots, never high",output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-02,dip,rank10,10,LVS,46.25,,,,,,"Scarce Macau/Singapore licenses, earnings inflecting; flagged: $11.9B net debt into capex year",output/dip/old/final_ranking_2026-07-02.md,,,,,,,,,,,,,
2026-07-12,momentum,single,1,MU,979.30,1300,2027-Q2,1800,2027-Q4,,"HBM sold out CY26 under $100B+ contracted agreements at 6.5x fwd PE; 3-firm DRAM oligopoly, no hyperscaler in-sourcing path",output/momentum/old/final_pick_2026-07-12.md,550,2027-Q2,0.30,0.45,0.25,1200,,,,,,,
2026-07-12,momentum,rank10,1,MU,979.30,1300,2027-Q2,1800,2027-Q4,,"HBM sold out CY26 under $100B+ contracted agreements at 6.5x fwd PE; cheapest name, lowest disintermediation risk",output/momentum/old/final_ranking_2026-07-12.md,550,2027-Q2,0.30,0.45,0.25,1200,,,,,,,
2026-07-12,momentum,rank10,2,AVGO,399.97,524,2027-Q2,650,2027-Q4,,$162B backlog/$73B AI; is the in-sourcing vehicle vs NVDA but two-sided long-term exposure to own customers,output/momentum/old/final_ranking_2026-07-12.md,260,2027-Q2,0.25,0.50,0.25,489.5,,,,,,,
2026-07-12,momentum,rank10,3,APH,159.06,185,2027-Q2,230,2027-Q4,,"Record $9.4B orders, 1.24 book-to-bill; CommScope CCS hedges CPO threat; EV upside below 15% guardrail",output/momentum/old/final_ranking_2026-07-12.md,110,2027-Q2,0.25,0.50,0.25,177.5,,,,,,,
2026-07-12,momentum,rank10,4,HWM,270.85,,,,,,Single-crystal airfoil duopoly; record 32% EBITDA margin; better cushion than GE on a similar moat,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,5,GE,359.27,,,,,,~$190-210B backlog certified engine duopoly; highest moat in dossier but most fully priced,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,6,LRCX,350.33,,,,,,Memory/HBM etch-deposition oligopoly leader; full valuation and China MATCH Act risk,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,7,CDNS,384.17,,,,,,EDA duopoly toll booth; best backlog visibility ($8B) but consumption not physical shortage,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,8,KLAC,231.52,,,,,,Strongest pure moat (process-control near-monopoly); trades above its own mean target,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,9,NVDA,210.96,,,,,,Best AI software moat but sharpest disintermediation trap in dossier; ASIC in-sourcing accelerating,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,momentum,rank10,10,AMAT,602.50,,,,,,Broadest cheapest semi-equipment exposure; most extended chart plus fresh China export penalty,output/momentum/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,single,1,MSFT,385.10,490,2027-09,580,2027-12,,"Widest-moat compounder de-rated ~31% on $190B AI-capex optics while Azure +40%, AI run-rate $37B +123%, RPO $627B — contracted demand vs feared spend",output/dip/old/final_pick_2026-07-12.md,300,2027-06,0.20,0.50,0.30,479,,,,,,,
2026-07-12,dip,rank10,1,MSFT,385.10,490,2027-09,580,2027-12,,Unanimous 40/40 Borda #1; broken price unbroken business — capex fear vs $627B contracted backlog,output/dip/old/final_ranking_2026-07-12.md,300,2027-06,0.20,0.50,0.30,479,,,,,,,
2026-07-12,dip,rank10,2,IDXX,563.57,650,2027-09,765,2027-12,,Most AI-proof franchise (8.5 irreplaceability); raised FY26 guide into the vet-visit scare; EV +11.8% below guardrail — safety not EV,output/dip/old/final_ranking_2026-07-12.md,405,2027-06,0.20,0.55,0.25,630,,,,,,,
2026-07-12,dip,rank10,3,CME,272.95,296,2027-09,340,2027-12,,"Record Q1 liquidity monopoly vs Kalshi/succession fear; screen price 240.27 was stale cache — corrected to verified 07-10 price; EV +6% vs live, below guardrail for new money",output/dip/old/final_ranking_2026-07-12.md,225,2027-06,0.25,0.50,0.25,289,,,,,,,
2026-07-12,dip,rank10,4,VEEV,190.12,,,,,,GxP-validated SaaS standard at ~20x vs 72x 10-yr avg; IQVIA 2029 sunset forces migration toward Vault CRM,output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,rank10,5,NFLX,73.37,,,,,,"Deepest quality drawdown (-42%) + hardest catalyst date: Jul 16 print, ad revenue doubling to ~$3B; receivables flag ruled benign",output/dip/old/final_ranking_2026-07-12.md,,,,,,,2026-07-16,,,,,,
2026-07-12,dip,rank10,6,ISRG,406.78,,,,,,85%-recurring surgery annuity repriced for still-elite 13.5-15.5% procedure growth; Hugo/Ottava competition clock ticking,output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,rank10,7,BR,147.47,,,,,,"Regulated proxy near-monopoly that RAISED guidance into AI/tokenization scare; widest upside band, leverage caps rank",output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,rank10,8,LVS,46.69,,,,,,Scarce Macau/Singapore licenses + record MBS EBITDA; flagged: $12.5B net debt into China policy risk,output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,rank10,9,NEM,95.29,,,,,,Net-cash #1 gold major in self-guided 2026 trough with $6B buyback; a gold-price bet wearing a stock costume,output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-07-12,dip,rank10,10,EFX,166.44,,,,,,Work Number data monopoly at decade-cheap multiple; verified +32% to $220 target; catalyst hostage to rate cuts,output/dip/old/final_ranking_2026-07-12.md,,,,,,,,,,,,,
2026-08-03,dip,single,1,BR,157.34,205,2027-09,265,2027-12,,"Only name that RAISED FY26 guidance (>=7% cc recurring, 10-12% adj EPS) while falling ~42%; SEC-mandated proxy moat, live on-chain governance; 15.77x fwd vs 31-35x 5yr trailing",output/dip/old/final_pick_2026-08-03.md,125,2027-06,0.25,0.50,0.25,200,2026-08-04,0.83,,,,,
2026-08-03,dip,rank10,1,BR,157.34,205,2027-09,265,2027-12,,"Borda #1 (33, 4/4 ballots); raised guidance through a 40% drawdown on two unfalsifiable narratives it is monetizing; binary FY27 guide tomorrow pre-open",output/dip/old/final_ranking_2026-08-03.md,125,2027-06,0.25,0.50,0.25,200,2026-08-04,,,,,,
2026-08-03,dip,rank10,2,VST,155.94,205,2027-09,265,2027-12,,Unbuildable nuclear/interconnect assets with AI as the customer; PJM drew only 525MW new supply at the $325 cap and fell 6831MW short of reliability; screen FCF -0.16B disproven (+1.80B),output/dip/old/final_ranking_2026-08-03.md,115,2027-06,0.25,0.45,0.30,200.5,2026-08-07,,,,,,
2026-08-03,dip,rank10,3,ISRG,375.41,470,2027-09,580,2027-12,,"Fell 14.15% on a clean beat purely on a de-risked 13.5-15.5% guide; 86% US accessory share, $8.63B net cash, dV5 refresh only ~15% done; OTTAVA De Novo Jul 21 is the real clock",output/dip/old/final_ranking_2026-08-03.md,270,2027-06,0.25,0.50,0.25,447.5,2026-10-20,,,,,,
2026-08-03,dip,rank10,4,META,590.24,,,,,,Ad pricing accelerating +12% on +14% impressions - a spending scare not a demand scare; flagged: FCF fell 91% and 16.9x rests on a contested depreciation extension,output/dip/old/final_ranking_2026-08-03.md,,,,,,,2026-10-28,,,,,,
2026-08-03,dip,rank10,5,DECK,99.50,,,,,,Beat and RAISED FY27 EPS; net cash; buyback = 36% of market cap with management having bought FY26 at $102.43 above today; fashion risk not AI risk,output/dip/old/final_ranking_2026-08-03.md,,,,,,,,,,,,,
2026-08-03,dip,rank10,6,APP,406.16,,,,,,Most polarized name: best average placement (1.50) but only 2/4 ballots; deepest dip -44.6% on +59% growth; TRAP FLAG - live SEC probe into the mechanism behind an 85% EBITDA margin,output/dip/old/final_ranking_2026-08-03.md,,,,,,,2026-08-05,,,,,,
2026-08-03,dip,rank10,7,VRSK,193.11,,,,,,Organic growth troughed at 3.9% and re-accelerated to 5.8%; much of the selling was information-free NASDAQ-100/Russell 1000 Growth index deletion; most levered at 2.68x,output/dip/old/final_ranking_2026-08-03.md,,,,,,,,,,,,,
2026-08-03,dip,rank10,8,NEM,95.37,,,,,,"Veto-lens top pick on downside protection: net cash $3.4B, ~10% FCF yield, 5.8x EV/EBITDA; flagged: +55% over 12m is a pullback in an uptrend, and zero pricing power",output/dip/old/final_ranking_2026-08-03.md,,,,,,,,,,,,,
2026-08-03,dip,rank10,9,NFLX,73.33,,,,,,"$12.5B FCF, ads doubling to ~$3B, buyback retiring 9.1% of float at the sector-average multiple; FLAG - growth stepped down four quarters running and engagement disclosure moved to annual",output/dip/old/final_ranking_2026-08-03.md,,,,,,,2026-10-20,,,,,,
2026-08-03,dip,rank10,10,HOOD,90.34,,,,,,"Record Q2 revenue +32% to $1.31B, $21.7B net deposits, event contracts +10x, opex guided down; RECEIVABLES_OUTRUN ruled benign; FLAG - 34x EV/EBITDA with no floor and binary state gambling litigation",output/dip/old/final_ranking_2026-08-03.md,,,,,,,,,,,,,
2026-08-04,momentum,single,1,AVGO,418.16,505,2027-11,645,2027-12,,Only computable forward ratio in the field - >$30B AI bookings vs $10.8B shipped (~3x book-to-bill) verified verbatim; $35B Apollo/Blackstone XPV funds 20GW of its own demand; sits on the RIGHT side of the disintermediation trap. CAVEAT: quality/moat lens excluded it outright on Google internalizing TPU design,output/momentum/old/final_pick_2026-08-04.md,285,2027-06,0.25,0.45,0.30,492.00,2026-09-02,,,,,,
2026-08-04,momentum,rank10,1,AVGO,418.16,505,2027-11,645,2027-12,,Only computable forward ratio in the field - >$30B AI bookings vs $10.8B shipped (~3x book-to-bill) verified verbatim; $35B Apollo/Blackstone XPV funds 20GW of its own demand; sits on the RIGHT side of the disintermediation trap. CAVEAT: quality/moat lens excluded it outright on Google internalizing TPU design,output/momentum/old/final_ranking_2026-08-04.md,285,2027-06,0.25,0.45,0.30,492.00,2026-09-02,,,,,,
2026-08-04,momentum,rank10,2,LRCX,317.74,380,2027-11,500,2027-12,,Purest memory-shortage exposure: DRAM contract prices +90% q/q forcing WFE spend raised twice to low-$150B; $8.1B guide vs $6.72B delivered at 52% GM (20-yr high); five fab customers who have never built an etcher. FLAG: EV +12.0% is below the +15% guardrail; cyclical at peak margins,output/momentum/old/final_ranking_2026-08-04.md,200,2027-06,0.30,0.45,0.25,356.00,,,,,,,
2026-08-04,momentum,rank10,3,MSFT,492.81,580,2027-11,680,2027-12,,"Uncrowded AI trade: -5% over 12m while RPO hit $678B +84% (+25% ex-OpenAI) and Azure beat its own guide at +43%; moat is the identity graph, not compute. FLAG: headline +32% EPS is GAAP/OpenAI-inflated vs +23% adjusted; EV +12.6% below guardrail",output/momentum/old/final_ranking_2026-08-04.md,380,2027-06,0.25,0.50,0.25,555.00,,,,,,,
2026-08-04,momentum,rank10,4,APH,171.33,,,,,,"Record $10.7B orders and 1.23 book-to-bill with a second 2026 price increase +5-15% effective 2026-07-01; ranked by all four lenses, first by none. FLAG: ~25 of 55 growth points acquired; organic growth is one AI datacom bet",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-08-04,momentum,rank10,5,GOOGL,377.65,,,,,,"$514B contracted cloud backlog (~5yrs run-rate, up from $106B a year ago), CFO admits supply-constrained, and Anthropic/Meta rent its TPUs; 9/9 on doctrine. FLAG: $4.6T cap arithmetically caps explosive return",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-08-04,momentum,rank10,6,NVDA,211.94,,,,,,"Widest consensus gap in the field (+42.9%) at ~23x after a year of multiple compression, on $119B of audited supply commitments. TRAP FLAG: four customers ~40% of revenue all shipping rival silicon; ASIC shipments +44.6% vs 16.1% merchant",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-08-04,momentum,rank10,7,GE,377.28,,,,,,"Doctrine-perfect 9/9: $210B backlog (4.4x revenue), shop visits 40% oversubscribed, sole-source engine on every 737 MAX. FLAG: ~49x current-year, margins -130bps, only +7.3% to target and one aggregator has consensus BELOW spot",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-08-04,momentum,rank10,8,LLY,1115.68,,,,,,"Best business here - 60% US incretin share, patents to 2036, retatrutide - and cheapest quality. DOCTRINE FLAG: FDA formally ended the GLP-1 shortage and prices are falling by policy mandate; it fails this screen's premise",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,2026-08-05,,,,,,
2026-08-04,momentum,rank10,9,KLAC,195.45,,,,,,"58% process-control share in a category no architecture can route around, 87% ROE, advanced packaging +70%. FLAG: slowest growth in the field, ~36x FY27, -35% from high, and the last analyst action was a cut",output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-08-04,momentum,rank10,10,VRT,269.93,,,,,,Hardest physical bottleneck in AI - power and heat - with pricing above inflation and chiller capacity doubling. FLAG: management STOPPED publishing backlog/orders on 2026-02-11; Q2 missed revenue and fell 14-17%,output/momentum/old/final_ranking_2026-08-04.md,,,,,,,,,,,,,
2026-09-17,momentum,single,1,LRCX,269.31,365,2027-Q3,460,2027-Q4,,"Fundamentally sold out etch monopolist (#1, ~39% share) in a low-$150B WFE supercycle; 9/10 shortage + 9/10 irreplaceability, un-in-sourceable, barely above 200d; EV +23.2% clears guardrail.",output/momentum/final_pick.md,175,2027-H2,0.3,0.45,0.25,331.75,2026-10-21,,,,,,
2026-09-17,momentum,rank10,1,LRCX,269.31,365,2027-Q3,460,2027-Q4,,"Borda #1 (32/40, 4/4 ballots): sold-out etch monopolist, un-in-sourceable; EV +23.2%.",output/momentum/final_ranking.md,175,2027-H2,0.3,0.45,0.25,331.75,2026-10-21,,,,,,
2026-09-17,momentum,rank10,2,AMAT,417.4,560,2027-Q3,720,2027-Q4,,"Broadest WFE vendor, record $9.12B quarter, doubling output by 2028; consensus name (4/4 ballots, no #1s); EV +24.3%.",output/momentum/final_ranking.md,290,2027-H2,0.3,0.45,0.25,519.0,2026-11-12,,,,,,
2026-09-17,momentum,rank10,3,SNDK,1614.39,2100,2027-Q2,2900,2027-Q4,,"$91B contracted NBM book at >80% margins, NAND up 3x since Jan; purest shortage vehicle but replaceable supplier; EV +18.0% — thin vs guardrail.",output/momentum/final_ranking.md,970,2027-H1,0.35,0.4,0.25,1904.5,2026-11-06,,,,,,
2026-09-17,momentum,rank10,4,MU,977.5,,,,,,"Entire 2026 HBM book sold out, fills half of demand, DRAM up 3.5x in 9 months; max shortage, max cyclicality, #3 share; earnings 2026-09-30 (12d).",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,5,NVDA,219.34,,,,,,"Constrained thru FY28, FY28 +70% growth guide; TRAP FLAG — hyperscaler ASICs actively building the inference bypass.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,6,CAT,798.57,,,,,,"$72B backlog +92% YoY, cannot ship gensets fast enough; the un-crowded shortage; machinery cyclical.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,7,LLY,1152.44,,,,,,"GLP-1 machine intact (78% Rx growth, ~70% injectable share); FLAG — FDA formally ended the shortage, morphing into a price/share war.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,8,CF,133.82,,,,,,"Quantified nitrogen deficit (~4.5Mt urea), low-cost pure play; FLAG — trades 6% ABOVE analyst mean target; commodity.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,9,APH,78.37,,,,,,"Record $10.7B orders, 1.23x book-to-bill, IT datacom +89%; FLAG — most substitutable link in the AI chain.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,momentum,rank10,10,VRTX,516.34,,,,,,"Virtual CF monopoly, 9/10 moat; FLAG — no shortage, momentum is the Journavx launch ramp + $8.8B Crinetics close.",output/momentum/final_ranking.md,,,,,,,,,,,,,
2026-09-17,dip,single,1,ISRG,383.54,520,2027-12,675,2028-03,,"Fastest organic grower (procedures +15-19%, ~75% recurring) with pure multiple-compression dip (~51x->31.7x) after Q2 2026 beat punished 10.7% on merely reaffirmed guidance; GLP-1 <3% of procedures; $8.6B net cash; all 4 verifier claims CONFIRMED; EV +33.7%",output/dip/old/final_pick_2026-09-17.md,290,2027-12,0.2,0.55,0.25,512.75,2026-10-20,,,,,,
2026-09-17,dip,rank10,1,ISRG,383.54,520,2027-12,675,2028-03,,"Borda #1 (32, 4/4 ballots, tie-break on verified-clean claims); pure multiple compression ~51x->31.7x on 15-19% procedure growth; $8.6B net cash; all 4 verifier claims CONFIRMED",output/dip/old/final_ranking_2026-09-17.md,290,2027-12,0.2,0.55,0.25,512.75,2026-10-20,,,,,,
2026-09-17,dip,rank10,2,SYK,280.13,350,2027-12,432,2028-03,,"Borda #2 (32); #1 orthopedics at 16.7x fwd on inability-to-ship dip; FLAG - verification partially contradicted clean-dip narrative (cyberattack hit Q1, Q2 actually beat); show-me H2 execution story",output/dip/old/final_ranking_2026-09-17.md,235,2027-12,0.3,0.5,0.2,331.9,2026-10-29,,,,,,
2026-09-17,dip,rank10,3,KLAC,168.98,230,2027-12,265,2028-03,,Borda #3 (31); -44% in ~74%-share process-control near-monopoly gaining share; FLAG - dip driver is multi-year China export-control overhang; all 3 verifier claims CONFIRMED,output/dip/old/final_ranking_2026-09-17.md,153,2027-12,0.25,0.5,0.25,219.5,2026-10-28,,,,,,
2026-09-17,dip,rank10,4,SPGI,404.11,,,,,,AI-fear derate in regulatory-embedded ratings tollbooth; ratings revenue +13% Q1 2026 on +14% issuance; no trap flags,output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
2026-09-17,dip,rank10,5,ODFL,175.09,,,,,,"Best-in-class LTL (27.9% ROIC, net-cash fortress) at freight trough; tonnage decline narrowed -4.8% (Feb) to -1% (Jul); FLAG - cyclical not structural",output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
2026-09-17,dip,rank10,6,HSY,168.33,,,,,,"Cocoa-cost trough passed (gross margin rebounding to 41.6% Q2 2026), guidance raised, pricing power proven; 17.1x fwd; FLAG - GLP-1 mild demand headwind",output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
2026-09-17,dip,rank10,7,IDXX,506.48,,,,,,#1 veterinary diagnostics at 30.3x fwd vs 40-55x history; beat-and-raise x2 while price derated -34%; FLAG - rebound needs wellness-visit recovery,output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
2026-09-17,dip,rank10,8,VRT,241.49,,,,,,Most polarized: lens A #1 on $15B backlog + Oct 21 catalyst; lens C left it out on moat grounds; FLAG - 38x 2026E leaves no room for a miss; catalyst-dependent,output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
2026-09-17,dip,rank10,9,NFLX,75.31,,,,,,"Multiple derate ~50x->20x not broken fundamentals; margin expansion + $12.5B FCF guidance; FLAG - growth decelerating, may be permanently slower",output/dip/old/final_ranking_2026-09-17.md,,,,,,,,,,,,,
